Date,Time,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,Nox_GT,PT08_S3_Nox,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,CO_level
9/21/2004,6:00:00,1.4,1013,-200,8.1,905,231,804,79,1499,974,18.3,65.5,1.3686,High
9/23/2004,1:00:00,1.4,1002,-200,6.9,854,104,818,71,1513,779,21.4,68.5,1.7261,High
9/25/2004,12:00:00,1.4,857,-200,6,813,51,1040,14,1183,622,19.3,34.8,0.771,High
9/25/2004,13:00:00,1.4,837,-200,6,812,31,1065,9,1171,624,19.8,31.2,0.7127,High
9/26/2004,2:00:00,1.4,915,-200,7.8,893,205,872,90,1287,953,15.6,51.9,0.9135,High
9/26/2004,3:00:00,1.4,906,-200,7.7,885,-200,872,-200,1304,912,13.5,59.4,0.9176,High
10/9/2004,2:00:00,1.4,1150,-200,7.3,871,155,697,58,1502,1030,21.1,64.5,1.594,High
10/10/2004,2:00:00,1.4,1096,-200,8.1,903,107,732,52,1560,857,23.8,60.2,1.7515,High
10/11/2004,1:00:00,1.4,1021,-200,6,811,135,794,52,1502,837,20.2,67.9,1.5901,High
10/24/2004,5:00:00,1.4,1057,-200,8.6,925,139,684,48,1503,972,18,75.4,1.5441,High
10/24/2004,9:00:00,1.4,1080,-200,7.8,891,175,732,59,1477,1001,19.1,70,1.5366,High
10/24/2004,14:00:00,1.4,1058,-200,7.4,875,151,756,70,1421,877,24.8,47.9,1.4819,High
10/25/2004,1:00:00,1.4,1014,-200,7.2,864,167,745,56,1474,1097,16.9,75.4,1.4393,High
10/26/2004,6:00:00,1.4,981,-200,8.6,923,228,730,54,1425,956,15.7,77,1.3591,High
10/26/2004,22:00:00,1.4,1055,-200,7.9,895,175,758,79,1468,1043,19.8,63.7,1.4524,High
10/27/2004,21:00:00,1.4,990,-200,8,898,176,748,75,1442,1006,17.8,71.2,1.4396,High
10/29/2004,10:00:00,1.4,1039,-200,8.4,917,169,735,77,1467,934,23.5,57.7,1.6515,High
10/30/2004,3:00:00,1.4,979,-200,5.9,805,-200,809,-200,1383,843,16.8,81.5,1.5418,High
10/30/2004,6:00:00,1.4,989,-200,7.8,891,237,762,82,1453,901,16.8,79,1.4978,High
11/7/2004,2:00:00,1.4,992,-200,6.9,853,177,796,79,1305,930,17.5,59.4,1.1768,High
11/10/2004,8:00:00,1.4,958,-200,5.8,803,267,910,128,1172,738,7.1,77.9,0.7914,High
11/10/2004,12:00:00,1.4,973,-200,6.8,850,395,868,165,1213,852,8,81.6,0.8755,High
11/11/2004,2:00:00,1.4,960,-200,6.6,838,219,797,97,1189,996,9.2,73.9,0.8616,High
11/12/2004,8:00:00,1.4,1001,-200,5.7,798,266,855,113,1257,794,14,66.1,1.0488,High
11/14/2004,18:00:00,1.4,861,-200,4.7,750,148,1481,78,1051,556,7.3,63.5,0.6519,High
11/15/2004,22:00:00,1.4,844,-200,5.4,782,217,969,112,1003,796,11.6,37.3,0.5095,High
11/18/2004,6:00:00,1.4,996,-200,6.6,841,358,797,122,1127,1005,6.1,76.7,0.7271,High
11/23/2004,6:00:00,1.4,1126,-200,7.7,886,316,713,98,1225,1158,8.5,81.1,0.8989,High
11/24/2004,4:00:00,1.4,1023,-200,5.4,781,295,809,81,1195,1019,10.6,78.8,1.008,High
11/28/2004,11:00:00,1.4,1028,-200,5.2,773,153,877,76,1194,871,11.1,68.2,0.8979,High
11/29/2004,6:00:00,1.4,1018,-200,5.7,800,225,821,78,1185,956,8.7,84.2,0.9526,High
11/29/2004,21:00:00,1.4,1022,-200,4.6,744,149,1224,87,1210,847,16.5,59.2,1.1021,High
11/30/2004,1:00:00,1.4,1052,-200,5.1,766,169,1031,81,1302,796,13.8,80.4,1.2621,High
12/1/2004,7:00:00,1.4,1007,-200,7,857,301,1699,96,1248,921,8.7,80.8,0.9096,High
12/2/2004,7:00:00,1.4,1073,-200,7.2,867,336,768,89,1329,981,12.5,76.4,1.1021,High
12/7/2004,0:00:00,1.4,966,-200,5.1,770,191,900,74,1206,956,14,66.1,1.05,High
12/7/2004,1:00:00,1.4,987,-200,5.5,786,273,901,75,1220,936,13,69.4,1.0364,High
12/8/2004,2:00:00,1.4,992,-200,4.4,731,170,1035,77,1149,911,15.3,59.1,1.0191,High
12/8/2004,16:00:00,1.4,1049,-200,5.5,790,221,870,96,1183,1019,15.4,58.9,1.02,High
12/9/2004,10:00:00,1.4,937,-200,4.7,750,263,1386,102,1141,790,14.3,55.4,0.9005,High
12/9/2004,11:00:00,1.4,950,-200,5.4,786,282,1038,101,1145,850,14.7,52.5,0.8716,High
12/9/2004,15:00:00,1.4,946,-200,5.3,780,249,945,99,1142,801,15.2,50.1,0.858,High
12/10/2004,8:00:00,1.4,919,-200,5.6,795,315,2327,110,998,822,12.3,35.8,0.5086,High
12/17/2004,23:00:00,1.4,1061,-200,5.7,800,200,819,106,1232,862,12.6,74.3,1.0843,High
12/18/2004,1:00:00,1.4,1025,-200,5.6,794,199,848,101,1202,788,13.1,70.5,1.0594,High
12/18/2004,2:00:00,1.4,1086,-200,5.1,769,190,822,100,1196,857,12.4,73.8,1.0574,High
12/26/2004,16:00:00,1.4,1163,-200,5.8,801,186,772,99,1288,876,13.6,68.9,1.0699,High
12/27/2004,12:00:00,1.4,1062,-200,6.2,822,224,764,113,1228,917,13.4,61.3,0.9379,High
12/27/2004,14:00:00,1.4,1034,-200,5,763,163,840,97,1192,761,15,57.2,0.9698,High
1/1/2005,5:00:00,1.4,1004,-200,4.8,753,181,879,106,942,1036,4.2,57.1,0.4759,High
1/1/2005,7:00:00,1.4,974,-200,4.5,736,168,888,97,945,966,3,60.7,0.4667,High
1/3/2005,6:00:00,1.4,-200,-200,-200,-200,264,-200,102,-200,-200,-200,-200,-200,High
1/6/2005,3:00:00,1.4,991,-200,3.5,681,-200,874,-200,1125,718,12.6,62.7,0.9121,High
1/7/2005,1:00:00,1.4,1032,-200,3.6,687,142,867,89,1109,878,9.8,70.7,0.8571,High
1/8/2005,2:00:00,1.4,991,-200,4.6,744,187,863,95,1069,949,7,73.6,0.7417,High
1/8/2005,3:00:00,1.4,989,-200,3.8,701,-200,871,-200,1049,933,7.2,72.3,0.7392,High
1/12/2005,6:00:00,1.4,1095,-200,7.3,868,357,676,98,1241,1078,9.2,78.5,0.9143,High
1/14/2005,7:00:00,1.4,1079,-200,7.3,869,374,732,110,1160,1039,5.7,79.3,0.7326,High
1/16/2005,5:00:00,1.4,929,-200,4.2,721,198,923,120,956,913,4.5,62.7,0.5343,High
1/16/2005,7:00:00,1.4,1011,-200,5.4,783,255,835,118,1013,1026,3.9,67.1,0.5483,High
1/16/2005,8:00:00,1.4,939,-200,4.8,751,312,898,156,984,952,5.7,54.5,0.5034,High
1/17/2005,0:00:00,1.4,916,-200,3.8,701,197,954,133,899,791,6.4,44.2,0.428,High
1/18/2005,1:00:00,1.4,1001,-200,5,762,223,850,131,948,1155,3,60.2,0.4639,High
1/21/2005,2:00:00,1.4,1003,-200,4.5,740,135,847,94,992,1048,6.7,57.4,0.5654,High
1/21/2005,17:00:00,1.4,1411,-200,16.4,1191,570,519,135,1426,1920,13.4,51.2,0.7808,High
1/22/2005,9:00:00,1.4,1443,-200,16.9,1207,645,502,208,1431,1673,6.9,76.9,0.7682,High
1/24/2005,10:00:00,1.4,992,-200,5.7,800,327,797,183,1007,934,8.7,46.7,0.5249,High
1/26/2005,19:00:00,1.4,1024,-200,9.2,945,302,729,185,1073,1026,5.3,44.4,0.397,High
1/26/2005,20:00:00,1.4,1011,-200,7.6,884,261,763,169,1048,910,4.9,47.9,0.418,High
1/27/2005,22:00:00,1.4,902,-200,3.6,689,177,995,128,838,719,4.3,41.1,0.3451,High
1/28/2005,13:00:00,1.4,943,-200,5.3,781,222,871,147,925,722,4.4,48.4,0.4087,High
1/29/2005,18:00:00,1.4,908,-200,3,653,165,980,118,847,551,3.3,46.8,0.3671,High
1/29/2005,20:00:00,1.4,925,-200,3.4,678,176,960,125,861,594,2.8,49,0.37,High
1/31/2005,23:00:00,1.4,1055,-200,5.4,782,231,798,161,940,1377,5.1,45.6,0.4056,High
2/4/2005,7:00:00,1.4,1100,-200,6.9,854,401,714,186,1075,1187,1.8,73.7,0.5198,High
2/4/2005,16:00:00,1.4,987,-200,6.1,816,236,816,156,959,821,11.3,33.5,0.4476,High
2/5/2005,7:00:00,1.4,1091,-200,7.3,868,402,705,205,1021,1200,1.3,67.2,0.4598,High
2/5/2005,20:00:00,1.4,994,-200,5.2,774,239,854,168,917,915,6,40.2,0.3773,High
2/5/2005,21:00:00,1.4,1010,-200,5.8,801,267,826,180,944,986,5.5,42.6,0.3874,High
2/6/2005,1:00:00,1.4,962,-200,4.9,756,255,902,176,843,908,3.7,40.1,0.323,High
2/6/2005,2:00:00,1.4,980,-200,5,761,235,854,172,876,1051,3.1,47.1,0.3638,High
2/6/2005,17:00:00,1.4,944,-200,3.7,693,217,928,150,832,568,9.2,29.9,0.3479,High
2/6/2005,21:00:00,1.4,938,-200,3.7,692,193,937,149,805,737,5.8,35.4,0.3286,High
2/7/2005,12:00:00,1.4,973,-200,5.7,797,221,845,154,845,769,12.9,20.6,0.3045,High
2/7/2005,14:00:00,1.4,960,-200,5.4,784,219,842,149,868,643,12,21.9,0.3069,High
2/7/2005,16:00:00,1.4,968,-200,5,765,227,843,156,863,692,12,24.3,0.3393,High
2/10/2005,4:00:00,1.4,-200,-200,-200,-200,95,-200,87,-200,-200,-200,-200,-200,High
2/12/2005,5:00:00,1.4,1175,-200,6.6,839,214,670,136,1087,1371,4.1,69,0.5735,High
2/12/2005,6:00:00,1.4,1203,-200,7.3,870,274,641,156,1103,1427,4.6,67.6,0.5778,High
2/14/2005,0:00:00,1.4,1115,-200,5.3,778,203,749,135,1158,994,10.9,55.9,0.7312,High
2/14/2005,17:00:00,1.4,940,-200,6.4,829,209,823,140,901,716,13.6,22.7,0.3529,High
2/15/2005,14:00:00,1.4,874,-200,4.8,751,199,918,135,792,591,12,19.3,0.2716,High
2/15/2005,16:00:00,1.4,923,-200,4.9,761,218,909,124,840,609,12.1,20.7,0.2906,High
2/16/2005,3:00:00,1.4,1077,-200,5.9,806,-200,725,-200,949,1296,4,49.1,0.4019,High
2/17/2005,13:00:00,1.4,1041,-200,5,763,196,790,130,1003,808,8.3,47.8,0.5238,High
2/17/2005,16:00:00,1.4,1014,-200,5,761,198,806,136,972,722,9,44.9,0.5173,High
2/17/2005,17:00:00,1.4,1023,-200,5.2,771,212,807,143,982,735,9.3,42.3,0.4974,High
2/18/2005,11:00:00,1.4,1011,-200,5.3,780,254,805,163,964,806,11.2,36.2,0.4818,High
2/18/2005,13:00:00,1.4,989,-200,5.6,791,213,804,146,953,690,11.5,33.1,0.4479,High
2/19/2005,17:00:00,1.4,1059,-200,5.3,777,191,797,140,969,774,13.5,29.1,0.4486,High
2/20/2005,21:00:00,1.4,1029,-200,3.8,699,193,851,140,1001,795,7.7,56.9,0.5994,High
2/21/2005,0:00:00,1.4,1009,-200,3.3,671,148,877,112,1010,610,6.7,62.8,0.6188,High
2/21/2005,22:00:00,1.4,1019,-200,4.4,730,188,811,143,1082,916,5.6,71.9,0.6604,High
2/22/2005,22:00:00,1.4,940,-200,3.6,686,190,903,150,1005,648,4.5,75.5,0.6429,High
2/23/2005,10:00:00,1.4,944,-200,3.8,697,243,881,167,1022,688,3.1,83,0.6419,High
2/24/2005,12:00:00,1.4,1060,-200,5.4,784,314,770,196,1117,941,5.5,79.5,0.7238,High
2/25/2005,7:00:00,1.4,1072,-200,6.1,819,303,751,175,1161,1003,5.3,80.2,0.7179,High
2/26/2005,11:00:00,1.4,943,-200,3.6,688,179,924,116,909,629,9.6,43.5,0.5202,High
2/27/2005,12:00:00,1.4,955,-200,3.9,706,168,888,120,884,616,12.6,30.6,0.446,High
3/1/2005,10:00:00,1.4,835,-200,3.6,688,284,988,122,720,630,2.8,30.3,0.2294,High
3/1/2005,18:00:00,1.4,882,-200,5,766,203,922,116,815,582,1.9,35,0.2494,High
3/2/2005,12:00:00,1.4,905,-200,5.7,796,288,900,146,767,699,9.6,18.8,0.2246,High
3/2/2005,23:00:00,1.4,1031,-200,5,763,235,818,153,905,1348,5,39.6,0.3479,High
3/3/2005,0:00:00,1.4,1047,-200,5.3,778,207,799,140,907,1326,4.1,41.7,0.3456,High
3/3/2005,1:00:00,1.4,1030,-200,4.2,724,204,832,138,893,1285,4.4,43.3,0.3656,High
3/3/2005,7:00:00,1.4,1217,-200,6.7,846,263,650,136,1120,1481,2.9,75.6,0.5742,High
3/3/2005,13:00:00,1.4,1092,-200,4.9,759,268,773,150,1088,1039,5.3,69.2,0.6213,High
3/6/2005,14:00:00,1.4,992,-200,6.7,844,156,830,113,990,552,13.1,26.6,0.399,High
3/6/2005,22:00:00,1.4,968,-200,3.5,680,201,918,156,891,740,6.8,46.9,0.465,High
3/6/2005,23:00:00,1.4,979,-200,4.1,718,207,883,157,903,807,6.1,46.3,0.4394,High
3/7/2005,0:00:00,1.4,935,-200,3.2,666,180,939,141,836,653,5.6,45.5,0.4187,High
3/7/2005,11:00:00,1.4,912,-200,4.4,731,339,912,162,811,684,9.6,27.7,0.3308,High
3/7/2005,16:00:00,1.4,907,-200,4.8,753,313,886,167,819,682,9.7,26.8,0.3226,High
3/8/2005,23:00:00,1.4,1064,-200,5.4,783,258,785,167,954,1319,6.6,46,0.4505,High
3/9/2005,0:00:00,1.4,1066,-200,5.2,771,214,795,145,949,1247,5.5,49.6,0.4526,High
3/10/2005,23:00:00,1.4,1017,-200,4.9,760,254,806,151,922,1235,8.3,38.2,0.4203,High
3/11/2005,0:00:00,1.4,1039,-200,5.2,774,227,786,133,949,1173,7.7,41.7,0.4387,High
3/11/2005,1:00:00,1.4,1027,-200,4.8,751,221,798,135,936,1171,6.8,44.9,0.4472,High
3/13/2005,13:00:00,1.4,1325,-200,8.5,921,358,570,159,1345,1297,14.2,57.8,0.9292,High
3/16/2005,0:00:00,1.4,1108,-200,5.7,798,221,694,134,1144,1199,11.8,56.9,0.7836,High
3/18/2005,0:00:00,1.4,1101,-200,5.9,809,224,690,150,1123,1201,12.4,52.2,0.7513,High
3/19/2005,15:00:00,1.4,1136,-200,5.4,781,174,712,119,1169,691,21.2,35.9,0.8943,High
3/20/2005,17:00:00,1.4,1153,-200,5.7,798,187,715,109,1184,678,21.5,35.7,0.905,High
3/25/2005,12:00:00,1.4,1367,-200,13.6,1105,371,503,140,1578,1391,21.3,46.6,1.1628,High
3/25/2005,15:00:00,1.4,1378,-200,14.3,1125,378,502,144,1601,1380,21.5,47.8,1.206,High
3/27/2005,10:00:00,1.4,1184,-200,4.6,743,208,672,90,1369,915,15.2,81.4,1.393,High
3/27/2005,16:00:00,1.4,1093,-200,3.5,682,199,797,104,1256,638,15.4,75.2,1.3024,High
3/28/2005,12:00:00,1.4,1097,-200,4.2,721,183,746,96,1266,807,21.6,46.8,1.1959,High
3/28/2005,13:00:00,1.4,1029,-200,3.3,670,154,800,87,1223,678,23.1,41.3,1.1506,High
3/28/2005,16:00:00,1.4,1055,-200,3.7,693,186,789,98,1203,598,24.7,35.6,1.0882,High
3/29/2005,22:00:00,1.4,1010,-200,4.8,752,206,740,127,1218,932,14.6,67.3,1.1102,High
3/30/2005,22:00:00,1.4,1066,-200,5.8,802,172,689,117,1282,1090,16,61.9,1.115,High
4/1/2005,16:00:00,1.4,939,-200,4.3,726,219,890,137,955,508,18.9,26.2,0.5667,High
4/1/2005,20:00:00,1.4,867,-200,3.7,694,183,906,134,858,539,13.8,30.6,0.479,High
4/3/2005,10:00:00,1.4,970,-200,3.4,677,166,888,113,931,613,21.1,23.7,0.5875,High
4/3/2005,12:00:00,1.4,996,-200,5.3,781,177,806,124,985,631,26.5,16.4,0.5594,High
4/3/2005,17:00:00,1.4,953,-200,6.1,817,242,872,156,891,603,28.9,9.9,0.3866,High
3/16/2004,7:00:00,1.3,1171,50,5.1,770,99,1162,70,1467,930,11,66.5,0.8705,High
3/20/2004,2:00:00,1.3,1017,-200,4.1,718,74,1182,81,1382,650,13.9,55.6,0.8765,High
3/20/2004,3:00:00,1.3,997,-200,3.4,677,-200,1252,-200,1359,591,13.8,55.1,0.8666,High
3/21/2004,14:00:00,1.3,1128,-200,4.6,742,48,1144,48,1507,610,21.4,40.3,1.0126,High
3/23/2004,22:00:00,1.3,1000,81,5.3,776,81,1141,96,1375,896,12,54.9,0.7664,High
3/23/2004,23:00:00,1.3,1041,74,5.4,782,78,1105,86,1425,911,11,61.4,0.8057,High
3/24/2004,23:00:00,1.3,973,79,4.5,739,81,1186,87,1354,589,10.4,61.1,0.7717,High
3/25/2004,0:00:00,1.3,997,81,4.5,737,80,1168,89,1341,631,10.3,59.9,0.7516,High
3/25/2004,12:00:00,1.3,1027,95,5.9,809,106,1081,88,1442,733,13.6,53,0.8209,High
3/26/2004,15:00:00,1.3,962,81,5.3,776,89,1152,75,1279,550,14.2,36.8,0.5922,High
3/28/2004,4:00:00,1.3,1010,96,5.1,769,77,1110,69,1396,895,8.3,64.9,0.7124,High
3/28/2004,8:00:00,1.3,1024,91,4.7,747,105,1136,75,1382,897,9.7,58.6,0.7035,High
3/28/2004,16:00:00,1.3,987,116,4.3,727,73,1213,70,1244,502,18.2,28.3,0.5848,High
3/28/2004,17:00:00,1.3,993,93,4.1,714,77,1217,75,1238,516,17,31.4,0.6048,High
3/30/2004,21:00:00,1.3,1073,95,4.7,746,73,1072,84,1360,789,15,46.1,0.7833,High
3/31/2004,0:00:00,1.3,1029,81,3.8,702,68,1180,82,1287,639,14.8,41,0.685,High
4/2/2004,1:00:00,1.3,1072,88,5.6,795,84,986,93,1442,1048,13.3,58.8,0.8922,High
4/3/2004,1:00:00,1.3,1141,98,6.3,827,73,936,88,1488,1110,16.2,54.2,0.9933,High
4/6/2004,22:00:00,1.3,1027,152,5.9,808,76,996,81,1458,647,15.8,48.6,0.8653,High
4/7/2004,22:00:00,1.3,1020,70,4.3,727,81,1153,85,1391,631,9.3,75.2,0.8796,High
4/10/2004,0:00:00,1.3,1047,77,5.4,783,83,1014,79,1449,975,12,66.9,0.9336,High
4/10/2004,14:00:00,1.3,883,108,5.1,766,90,1152,81,1238,498,19.8,23.1,0.5283,High
4/12/2004,11:00:00,1.3,1115,75,3.9,707,104,1105,93,1384,677,12.7,62.7,0.9173,High
4/12/2004,18:00:00,1.3,1040,83,3.9,705,100,1149,91,1324,612,11,58.9,0.7714,High
4/24/2004,23:00:00,1.3,1004,71,3.2,667,68,1157,69,1365,492,11.5,76.9,1.0436,High
4/25/2004,1:00:00,1.3,984,70,3.9,707,71,1131,73,1359,494,12.4,64.1,0.9209,High
4/25/2004,3:00:00,1.3,966,92,4.5,737,-200,1083,-200,1363,581,12.6,58.6,0.8529,High
4/25/2004,16:00:00,1.3,931,64,4.5,739,83,1274,74,1219,474,20.2,24.1,0.563,High
4/26/2004,11:00:00,1.3,917,101,5.2,772,98,1098,78,1311,605,18.8,31.7,0.6821,High
4/26/2004,14:00:00,1.3,942,104,5.4,785,86,1065,77,1365,571,19.7,32.5,0.7396,High
4/28/2004,0:00:00,1.3,1055,101,8,899,72,880,83,1504,980,17.4,46.3,0.9112,High
5/1/2004,3:00:00,1.3,1009,-200,6.3,825,-200,950,-200,1629,938,15.7,73.1,1.2902,High
5/1/2004,13:00:00,1.3,962,-200,6.1,816,65,1044,66,1489,628,25.6,31.5,1.0184,High
5/1/2004,14:00:00,1.3,963,-200,6.5,835,59,1029,68,1495,556,24.8,34.8,1.0716,High
5/2/2004,11:00:00,1.3,1008,-200,6.1,816,78,1015,72,1531,689,23.6,36.4,1.0431,High
5/2/2004,12:00:00,1.3,1004,-200,6.2,821,72,1031,68,1510,629,24.3,34,1.0149,High
5/3/2004,6:00:00,1.3,1147,-200,8.2,906,152,815,80,1687,1126,16,65.8,1.1844,High
5/4/2004,0:00:00,1.3,1065,-200,5.5,789,79,936,81,1620,929,18.4,65.8,1.3802,High
5/4/2004,10:00:00,1.3,1035,-200,7.9,895,84,898,65,1657,863,20.3,54.8,1.2867,High
5/5/2004,6:00:00,1.3,1060,-200,6.9,851,108,912,81,1673,805,14.5,78.3,1.2851,High
5/6/2004,6:00:00,1.3,948,-200,6.1,817,128,1048,92,1546,695,13.1,65.6,0.9815,High
5/7/2004,11:00:00,1.3,844,-200,6.3,825,90,1027,101,1405,536,19.7,33.7,0.7646,High
5/12/2004,22:00:00,1.3,970,-200,5.2,773,87,1026,91,1425,658,16.1,52,0.946,High
5/12/2004,23:00:00,1.3,987,-200,5.7,800,86,989,88,1462,658,15.5,57.1,0.996,High
5/14/2004,2:00:00,1.3,1014,-200,6.9,853,75,883,91,1538,975,16.3,57,1.0484,High
5/15/2004,14:00:00,1.3,916,-200,6.4,829,82,1124,75,1333,621,26.1,21.1,0.7023,High
5/17/2004,6:00:00,1.3,1009,-200,7,859,132,944,102,1420,1016,16,38.1,0.6879,High
5/17/2004,23:00:00,1.3,1003,-200,7.4,872,79,988,80,1439,851,20.2,31.2,0.7304,High
5/24/2004,9:00:00,1.3,898,-200,6.9,853,85,1066,56,1271,763,19.2,23.8,0.5235,High
5/24/2004,13:00:00,1.3,869,-200,7.2,866,109,1107,85,1212,596,23.8,14.5,0.4222,High
5/26/2004,16:00:00,1.3,969,-200,9.7,968,115,1276,112,1325,768,31.8,13.8,0.6394,High
5/29/2004,22:00:00,1.3,955,-200,8.5,918,102,1056,93,1511,762,19.5,36.9,0.8258,High
5/30/2004,20:00:00,1.3,1025,-200,10.1,980,114,986,113,1591,891,25,26.9,0.8408,High
5/31/2004,14:00:00,1.3,1071,-200,13.8,1110,124,864,121,1733,847,30.5,26.2,1.1278,High
6/5/2004,3:00:00,1.3,937,-200,6.9,853,-200,962,-200,1604,969,19.8,53.6,1.2214,High
6/5/2004,15:00:00,1.3,926,-200,7.3,868,80,1048,75,1599,687,27.6,35.1,1.2764,High
6/6/2004,19:00:00,1.3,906,-200,6.6,838,117,1084,88,1547,694,23.7,36.8,1.0609,High
6/8/2004,0:00:00,1.3,942,-200,6.7,846,78,980,92,1615,905,21.7,50.8,1.3019,High
6/11/2004,23:00:00,1.3,936,-200,7.3,871,108,990,97,1430,921,24.9,27.2,0.8429,High
6/12/2004,0:00:00,1.3,988,-200,8.9,937,98,894,91,1543,1008,23.5,32.2,0.922,High
6/12/2004,8:00:00,1.3,1003,-200,8.9,937,125,850,81,1622,1005,21.3,41.8,1.0449,High
6/12/2004,17:00:00,1.3,1042,-200,7.9,897,63,901,76,1605,681,35.2,22.6,1.267,High
6/14/2004,13:00:00,1.3,928,-200,5.5,787,85,1012,68,1585,606,25.4,39.2,1.2534,High
6/17/2004,6:00:00,1.3,966,-200,9.3,951,123,812,77,1735,996,18.3,60.8,1.2635,High
6/21/2004,6:00:00,1.3,934,-200,8.3,911,85,857,64,1639,863,18.6,56,1.1865,High
6/21/2004,23:00:00,1.3,920,-200,7.4,875,75,915,80,1594,744,20.9,48.9,1.1945,High
6/24/2004,9:00:00,1.3,1020,-200,7.1,860,93,864,74,1649,875,27,40.8,1.4286,High
6/24/2004,15:00:00,1.3,971,-200,6.1,818,59,942,65,1565,585,35.3,23.7,1.3331,High
6/26/2004,17:00:00,1.3,1010,-200,6.1,816,80,955,73,1567,741,34,26.4,1.3781,High
7/3/2004,11:00:00,1.3,974,-200,8.8,930,104,872,97,1536,712,33.9,21.3,1.1067,High
7/3/2004,13:00:00,1.3,912,-200,7.4,873,89,946,86,1436,614,36.6,15.2,0.9177,High
7/4/2004,22:00:00,1.3,1012,-200,7.4,876,89,853,87,1580,967,26,35.7,1.1842,High
7/7/2004,6:00:00,1.3,1072,-200,9.9,976,144,740,88,1673,1340,23.9,39.3,1.1522,High
7/8/2004,13:00:00,1.3,1076,-200,9.9,972,111,819,109,1525,923,41.8,15,1.1989,High
7/9/2004,14:00:00,1.3,978,-200,9.6,962,105,846,117,1527,680,34.2,19.6,1.0399,High
7/10/2004,20:00:00,1.3,970,-200,8,900,70,856,77,1559,647,26.1,33.7,1.1228,High
7/10/2004,21:00:00,1.3,990,-200,7.2,866,89,866,94,1551,728,24.7,38.8,1.1929,High
7/12/2004,15:00:00,1.3,933,-200,6.4,831,105,888,72,1514,710,26,34.9,1.1509,High
7/12/2004,22:00:00,1.3,865,-200,5.2,773,93,991,85,1414,653,21.3,38.7,0.9686,High
7/13/2004,6:00:00,1.3,873,-200,7.3,871,101,871,62,1528,887,16.2,57.4,1.0515,High
7/13/2004,15:00:00,1.3,843,-200,6.4,830,89,995,72,1339,577,30.1,19.4,0.8157,High
7/14/2004,6:00:00,1.3,960,-200,9.9,973,140,769,89,1616,1155,18.8,49.4,1.0624,High
7/17/2004,7:00:00,1.3,974,-200,8.2,908,83,793,75,1546,1057,21.1,46.9,1.1585,High
7/22/2004,2:00:00,1.3,1044,-200,6.4,832,50,794,67,1580,1160,26.4,47.1,1.5947,High
7/23/2004,1:00:00,1.3,1053,-200,8.8,933,72,743,72,1658,1257,27.7,40.5,1.4835,High
7/24/2004,12:00:00,1.3,1043,-200,6.7,843,64,799,68,1628,689,37.8,26.3,1.6951,High
7/24/2004,18:00:00,1.3,1034,-200,6,812,70,866,82,1563,660,32.3,33.4,1.59,High
7/31/2004,18:00:00,1.3,1014,-200,8.1,903,58,816,92,1554,612,37.3,24.3,1.5222,High
8/7/2004,21:00:00,1.3,954,-200,6.4,828,51,793,68,1589,631,27.7,47.4,1.7344,High
8/8/2004,11:00:00,1.3,1007,-200,4.8,751,53,849,64,1649,643,27.6,52.4,1.9055,High
8/11/2004,12:00:00,1.3,1066,-200,6,813,63,792,56,1657,764,36.2,34.9,2.0578,High
8/11/2004,13:00:00,1.3,1056,-200,5.8,802,52,824,47,1620,670,38,30.7,2.0022,High
8/12/2004,12:00:00,1.3,975,-200,5.5,788,70,851,54,1629,701,34.5,35.1,1.8856,High
8/12/2004,17:00:00,1.3,974,-200,7,855,53,836,67,1607,610,37.1,27.2,1.6844,High
8/12/2004,21:00:00,1.3,1008,-200,7.5,878,53,792,67,1691,722,29.3,50.2,2.0127,High
8/14/2004,0:00:00,1.3,984,-200,5.6,795,63,838,78,1570,676,25.4,54.6,1.7483,High
8/16/2004,7:00:00,1.3,924,-200,8.5,920,92,767,62,1534,946,22.2,45,1.1867,High
8/16/2004,17:00:00,1.3,903,-200,6.9,853,72,930,69,1420,606,38.8,15.8,1.0706,High
8/16/2004,18:00:00,1.3,944,-200,7,857,67,880,77,1463,631,35.2,22.3,1.2467,High
8/16/2004,19:00:00,1.3,969,-200,6.8,850,70,857,77,1503,695,31.7,28.2,1.2962,High
8/16/2004,22:00:00,1.3,960,-200,5.7,798,73,854,84,1459,780,28,34.9,1.2989,High
8/23/2004,12:00:00,1.3,902,-200,5.9,808,57,912,64,1408,632,34.4,23.5,1.2541,High
8/24/2004,13:00:00,1.3,923,-200,7.1,862,92,875,107,1363,626,34.6,18.2,0.9832,High
8/24/2004,20:00:00,1.3,1038,-200,5.2,773,67,749,61,1568,687,27.5,50.4,1.8274,High
8/24/2004,21:00:00,1.3,1059,-200,5.7,800,66,740,62,1604,739,27.5,50.4,1.8284,High
8/25/2004,1:00:00,1.3,988,-200,6.3,825,71,756,71,1559,848,24.9,50.6,1.5747,High
8/25/2004,14:00:00,1.3,972,-200,6.2,820,60,811,66,1535,630,34.4,30.6,1.6402,High
8/25/2004,15:00:00,1.3,985,-200,6.3,826,66,808,71,1544,621,35.3,28.5,1.6034,High
8/25/2004,16:00:00,1.3,1004,-200,6,814,57,808,61,1520,602,36.3,28.3,1.6851,High
8/25/2004,18:00:00,1.3,965,-200,5.8,802,51,821,54,1504,564,32.5,34.1,1.6453,High
